BudgetID,DateKey,SegmentID,GeographyID,BudgetRevenue,BudgetCOGS,BudgetOpEx,BudgetGrossProfit,BudgetOperatingIncome
1,20240101,1,1,4891593.54,2201217.09,1712057.74,2690376.45,978318.71
2,20240101,1,2,4985356.58,2243410.46,1744874.8,2741946.12,997071.32
3,20240101,1,3,3440011.43,1548005.14,1204004.0,1892006.29,688002.29
4,20240101,1,4,3754369.48,1689466.27,1314029.32,2064903.21,750873.89
5,20240101,1,5,2741365.9,1233614.66,959478.06,1507751.24,548273.18
6,20240101,1,6,6806307.58,3062838.41,2382207.65,3743469.17,1361261.52
7,20240101,1,7,2666607.91,1199973.56,933312.77,1466634.35,533321.58
8,20240101,1,8,5039397.73,2267728.98,1763789.21,2771668.75,1007879.54
9,20240101,1,9,6355425.95,2859941.68,2224399.08,3495484.27,1271085.19
10,20240101,1,10,7305861.08,3287637.49,2557051.38,4018223.59,1461172.21
11,20240101,1,11,2297756.16,1033990.27,804214.66,1263765.89,459551.23
12,20240101,1,12,7568469.76,3405811.39,2648964.42,4162658.37,1513693.95
13,20240101,1,13,7450688.12,3352809.65,2607740.84,4097878.47,1490137.63
14,20240101,1,14,6400507.39,2880228.33,2240177.59,3520279.06,1280101.47
15,20240101,1,15,7534675.72,3390604.07,2637136.5,4144071.65,1506935.15
16,20240101,1,16,1987292.9,894281.8,695552.51,1093011.1,397458.59
17,20240101,1,17,5047390.25,2271325.61,1766586.59,2776064.64,1009478.05
18,20240101,1,18,2952925.05,1328816.27,1033523.77,1624108.78,590585.01
19,20240101,2,1,3223542.72,967062.82,1128239.95,2256479.9,1128239.95
20,20240101,2,2,8121867.65,2436560.3,2842653.68,5685307.35,2842653.67
21,20240101,2,3,7832087.57,2349626.27,2741230.65,5482461.3,2741230.65
22,20240101,2,4,7947787.16,2384336.15,2781725.51,5563451.01,2781725.5
23,20240101,2,5,7324300.55,2197290.16,2563505.19,5127010.39,2563505.2
24,20240101,2,6,3902649.1,1170794.73,1365927.19,2731854.37,1365927.18
25,20240101,2,7,4664000.91,1399200.27,1632400.32,3264800.64,1632400.32
26,20240101,2,8,4262936.84,1278881.05,1492027.89,2984055.79,1492027.9
27,20240101,2,9,6709141.97,2012742.59,2348199.69,4696399.38,2348199.69
28,20240101,2,10,7685816.97,2305745.09,2690035.94,5380071.88,2690035.94
29,20240101,2,11,4735883.47,1420765.04,1657559.21,3315118.43,1657559.22
30,20240101,2,12,2389888.0,716966.4,836460.8,1672921.6,836460.8
31,20240101,2,13,4426190.15,1327857.05,1549166.55,3098333.1,1549166.55
32,20240101,2,14,2621261.22,786378.37,917441.43,1834882.85,917441.42
33,20240101,2,15,2488467.78,746540.33,870963.72,1741927.45,870963.73
34,20240101,2,16,8147762.63,2444328.79,2851716.92,5703433.84,2851716.92
35,20240101,2,17,6332084.42,1899625.33,2216229.55,4432459.09,2216229.54
36,20240101,2,18,8044835.52,2413450.66,2815692.43,5631384.86,2815692.43
37,20240101,3,1,2453830.42,858840.65,858840.65,1594989.77,736149.12
38,20240101,3,2,6912283.04,2419299.06,2419299.06,4492983.98,2073684.92
39,20240101,3,3,3494216.51,1222975.78,1222975.78,2271240.73,1048264.95
40,20240101,3,4,7813126.78,2734594.37,2734594.37,5078532.41,2343938.04
41,20240101,3,5,4206241.54,1472184.54,1472184.54,2734057.0,1261872.46
42,20240101,3,6,4613090.55,1614581.69,1614581.69,2998508.86,1383927.17
43,20240101,3,7,4948213.29,1731874.65,1731874.65,3216338.64,1484463.99
44,20240101,3,8,4951095.86,1732883.55,1732883.55,3218212.31,1485328.76
45,20240101,3,9,6629773.26,2320420.64,2320420.64,4309352.62,1988931.98
46,20240101,3,10,5369484.05,1879319.42,1879319.42,3490164.63,1610845.21
47,20240101,3,11,6224388.41,2178535.94,2178535.94,4045852.47,1867316.53
48,20240101,3,12,7387325.19,2585563.82,2585563.82,4801761.37,2216197.55
49,20240101,3,13,7241413.35,2534494.67,2534494.67,4706918.68,2172424.01
50,20240101,3,14,4658320.55,1630412.19,1630412.19,3027908.36,1397496.17
51,20240101,3,15,2359805.9,825932.06,825932.06,1533873.84,707941.78
52,20240101,3,16,7083906.37,2479367.23,2479367.23,4604539.14,2125171.91
53,20240101,3,17,4277779.93,1497222.98,1497222.98,2780556.95,1283333.97
54,20240101,3,18,6140745.55,2149260.94,2149260.94,3991484.61,1842223.67
55,20240201,1,1,6189424.03,2785240.81,2166298.41,3404183.22,1237884.81
56,20240201,1,2,3988953.7,1795029.16,1396133.79,2193924.54,797790.75
57,20240201,1,3,2284321.98,1027944.89,799512.69,1256377.09,456864.4
58,20240201,1,4,4426385.99,1991873.7,1549235.1,2434512.29,885277.19
59,20240201,1,5,2869811.92,1291415.36,1004434.17,1578396.56,573962.39
60,20240201,1,6,3357359.87,1510811.94,1175075.95,1846547.93,671471.98
61,20240201,1,7,2501373.85,1125618.23,875480.85,1375755.62,500274.77
62,20240201,1,8,2190290.69,985630.81,766601.74,1204659.88,438058.14
63,20240201,1,9,2010241.0,904608.45,703584.35,1105632.55,402048.2
64,20240201,1,10,4060511.99,1827230.4,1421179.2,2233281.59,812102.39
65,20240201,1,11,6779935.16,3050970.82,2372977.31,3728964.34,1355987.03
66,20240201,1,12,1938510.42,872329.69,678478.65,1066180.73,387702.08
67,20240201,1,13,5395556.29,2428000.33,1888444.7,2967555.96,1079111.26
68,20240201,1,14,6645541.48,2990493.67,2325939.52,3655047.81,1329108.29
69,20240201,1,15,2983424.86,1342541.19,1044198.7,1640883.67,596684.97
70,20240201,1,16,2404279.37,1081925.72,841497.78,1322353.65,480855.87
71,20240201,1,17,3856835.82,1735576.12,1349892.54,2121259.7,771367.16
72,20240201,1,18,1962942.45,883324.1,687029.86,1079618.35,392588.49
73,20240201,2,1,1910255.14,573076.54,668589.3,1337178.6,668589.3
74,20240201,2,2,2471186.51,741355.95,864915.28,1729830.56,864915.28
75,20240201,2,3,2531409.8,759422.94,885993.43,1771986.86,885993.43
76,20240201,2,4,2656470.42,796941.13,929764.65,1859529.29,929764.64
77,20240201,2,5,5931848.74,1779554.62,2076147.06,4152294.12,2076147.06
78,20240201,2,6,3729058.32,1118717.5,1305170.41,2610340.82,1305170.41
79,20240201,2,7,6428225.86,1928467.76,2249879.05,4499758.1,2249879.05
80,20240201,2,8,6347504.37,1904251.31,2221626.53,4443253.06,2221626.53
81,20240201,2,9,6293819.35,1888145.8,2202836.77,4405673.55,2202836.78
82,20240201,2,10,4516178.8,1354853.64,1580662.58,3161325.16,1580662.58
83,20240201,2,11,3711632.27,1113489.68,1299071.29,2598142.59,1299071.3
84,20240201,2,12,3173251.8,951975.54,1110638.13,2221276.26,1110638.13
85,20240201,2,13,2635842.45,790752.74,922544.86,1845089.71,922544.85
86,20240201,2,14,5271275.87,1581382.76,1844946.55,3689893.11,1844946.56
87,20240201,2,15,4630402.84,1389120.85,1620640.99,3241281.99,1620641.0
88,20240201,2,16,6558276.47,1967482.94,2295396.76,4590793.53,2295396.77
89,20240201,2,17,4476461.69,1342938.51,1566761.59,3133523.18,1566761.59
90,20240201,2,18,1969830.24,590949.07,689440.58,1378881.17,689440.59
91,20240201,3,1,4590919.18,1606821.71,1606821.71,2984097.47,1377275.76
92,20240201,3,2,2113084.38,739579.53,739579.53,1373504.85,633925.32
93,20240201,3,3,8033003.44,2811551.2,2811551.2,5221452.24,2409901.04
94,20240201,3,4,7967988.72,2788796.05,2788796.05,5179192.67,2390396.62
95,20240201,3,5,7783778.72,2724322.55,2724322.55,5059456.17,2335133.62
96,20240201,3,6,4932511.86,1726379.15,1726379.15,3206132.71,1479753.56
97,20240201,3,7,6298574.08,2204500.93,2204500.93,4094073.15,1889572.22
98,20240201,3,8,3775630.45,1321470.66,1321470.66,2454159.79,1132689.13
99,20240201,3,9,5974418.78,2091046.57,2091046.57,3883372.21,1792325.64
100,20240201,3,10,7812168.77,2734259.07,2734259.07,5077909.7,2343650.63
101,20240201,3,11,3435609.44,1202463.3,1202463.3,2233146.14,1030682.84
102,20240201,3,12,2549607.23,892362.53,892362.53,1657244.7,764882.17
103,20240201,3,13,8362246.32,2926786.21,2926786.21,5435460.11,2508673.9
104,20240201,3,14,6911064.23,2418872.48,2418872.48,4492191.75,2073319.27
105,20240201,3,15,2323138.15,813098.35,813098.35,1510039.8,696941.45
106,20240201,3,16,5913275.62,2069646.47,2069646.47,3843629.15,1773982.68
107,20240201,3,17,6203478.58,2171217.5,2171217.5,4032261.08,1861043.58
108,20240201,3,18,4926149.25,1724152.24,1724152.24,3201997.01,1477844.77
109,20240301,1,1,2446168.02,1100775.61,856158.81,1345392.41,489233.6
110,20240301,1,2,5593883.24,2517247.46,1957859.13,3076635.78,1118776.65
111,20240301,1,3,4874439.45,2193497.75,1706053.81,2680941.7,974887.89
112,20240301,1,4,4444532.28,2000039.53,1555586.3,2444492.75,888906.45
113,20240301,1,5,2743899.12,1234754.6,960364.69,1509144.52,548779.83
114,20240301,1,6,2353501.33,1059075.6,823725.47,1294425.73,470700.26
115,20240301,1,7,3220200.94,1449090.42,1127070.33,1771110.52,644040.19
116,20240301,1,8,6259422.88,2816740.3,2190798.01,3442682.58,1251884.57
117,20240301,1,9,5755577.2,2590009.74,2014452.02,3165567.46,1151115.44
118,20240301,1,10,2232685.27,1004708.37,781439.84,1227976.9,446537.06
119,20240301,1,11,6818069.31,3068131.19,2386324.26,3749938.12,1363613.86
120,20240301,1,12,3608127.9,1623657.56,1262844.76,1984470.34,721625.58
121,20240301,1,13,7064490.81,3179020.86,2472571.78,3885469.95,1412898.17
122,20240301,1,14,5671959.05,2552381.57,1985185.67,3119577.48,1134391.81
123,20240301,1,15,3483772.43,1567697.59,1219320.35,1916074.84,696754.49
124,20240301,1,16,7589958.11,3415481.15,2656485.34,4174476.96,1517991.62
125,20240301,1,17,3579193.61,1610637.12,1252717.76,1968556.49,715838.73
126,20240301,1,18,6755069.79,3039781.41,2364274.43,3715288.38,1351013.95
127,20240301,2,1,7261058.8,2178317.64,2541370.58,5082741.16,2541370.58
128,20240301,2,2,3101846.85,930554.06,1085646.4,2171292.79,1085646.39
129,20240301,2,3,7537597.3,2261279.19,2638159.05,5276318.11,2638159.06
130,20240301,2,4,6021434.17,1806430.25,2107501.96,4215003.92,2107501.96
131,20240301,2,5,6669230.13,2000769.04,2334230.55,4668461.09,2334230.54
132,20240301,2,6,5467353.6,1640206.08,1913573.76,3827147.52,1913573.76
133,20240301,2,7,4010142.56,1203042.77,1403549.9,2807099.79,1403549.89
134,20240301,2,8,3650259.81,1095077.94,1277590.93,2555181.87,1277590.94
135,20240301,2,9,4399634.95,1319890.49,1539872.23,3079744.46,1539872.23
136,20240301,2,10,2993818.96,898145.69,1047836.64,2095673.27,1047836.63
137,20240301,2,11,5519401.79,1655820.54,1931790.63,3863581.25,1931790.62
138,20240301,2,12,3436794.7,1031038.41,1202878.15,2405756.29,1202878.14
139,20240301,2,13,3593829.6,1078148.88,1257840.36,2515680.72,1257840.36
140,20240301,2,14,5790956.44,1737286.93,2026834.75,4053669.51,2026834.76
141,20240301,2,15,4022644.74,1206793.42,1407925.66,2815851.32,1407925.66
142,20240301,2,16,4592173.8,1377652.14,1607260.83,3214521.66,1607260.83
143,20240301,2,17,5218299.44,1565489.83,1826404.8,3652809.61,1826404.81
144,20240301,2,18,6368104.07,1910431.22,2228836.42,4457672.85,2228836.43
145,20240301,3,1,8341196.3,2919418.7,2919418.7,5421777.6,2502358.9
146,20240301,3,2,8536099.57,2987634.85,2987634.85,5548464.72,2560829.87
147,20240301,3,3,3064666.82,1072633.39,1072633.39,1992033.43,919400.04
148,20240301,3,4,2558729.37,895555.28,895555.28,1663174.09,767618.81
149,20240301,3,5,7297543.66,2554140.28,2554140.28,4743403.38,2189263.1
150,20240301,3,6,6881509.3,2408528.26,2408528.25,4472981.04,2064452.79
151,20240301,3,7,2305892.68,807062.44,807062.44,1498830.24,691767.8
152,20240301,3,8,8486140.97,2970149.34,2970149.34,5515991.63,2545842.29
153,20240301,3,9,3088171.89,1080860.16,1080860.16,2007311.73,926451.57
154,20240301,3,10,5454696.7,1909143.84,1909143.84,3545552.86,1636409.02
155,20240301,3,11,7349738.67,2572408.53,2572408.53,4777330.14,2204921.61
156,20240301,3,12,9066228.4,3173179.94,3173179.94,5893048.46,2719868.52
157,20240301,3,13,6467998.29,2263799.4,2263799.4,4204198.89,1940399.49
158,20240301,3,14,7591982.61,2657193.91,2657193.91,4934788.7,2277594.79
159,20240301,3,15,4431257.72,1550940.2,1550940.2,2880317.52,1329377.32
160,20240301,3,16,3337101.66,1167985.58,1167985.58,2169116.08,1001130.5
161,20240301,3,17,6240571.94,2184200.18,2184200.18,4056371.76,1872171.58
162,20240301,3,18,2369068.46,829173.96,829173.96,1539894.5,710720.54
163,20240401,1,1,6257405.63,2815832.53,2190091.97,3441573.1,1251481.13
164,20240401,1,2,7005903.36,3152656.51,2452066.18,3853246.85,1401180.67
165,20240401,1,3,2352231.53,1058504.19,823281.04,1293727.34,470446.3
166,20240401,1,4,3225207.07,1451343.18,1128822.47,1773863.89,645041.42
167,20240401,1,5,7355171.47,3309827.16,2574310.01,4045344.31,1471034.3
168,20240401,1,6,2662694.69,1198212.61,931943.14,1464482.08,532538.94
169,20240401,1,7,2148762.71,966943.22,752066.95,1181819.49,429752.54
170,20240401,1,8,2028059.81,912626.91,709820.93,1115432.9,405611.97
171,20240401,1,9,5918891.1,2663501.0,2071611.88,3255390.1,1183778.22
172,20240401,1,10,4470483.5,2011717.58,1564669.22,2458765.92,894096.7
173,20240401,1,11,6362423.93,2863090.77,2226848.38,3499333.16,1272484.78
174,20240401,1,12,2961930.39,1332868.68,1036675.64,1629061.71,592386.07
175,20240401,1,13,4809829.43,2164423.24,1683440.3,2645406.19,961965.89
176,20240401,1,14,5535348.62,2490906.88,1937372.02,3044441.74,1107069.72
177,20240401,1,15,4123010.14,1855354.56,1443053.55,2267655.58,824602.03
178,20240401,1,16,6477920.04,2915064.02,2267272.01,3562856.02,1295584.01
179,20240401,1,17,3841321.1,1728594.5,1344462.39,2112726.6,768264.21
180,20240401,1,18,3268214.17,1470696.38,1143874.96,1797517.79,653642.83
181,20240401,2,1,2739855.92,821956.78,958949.57,1917899.14,958949.57
182,20240401,2,2,2570059.32,771017.8,899520.76,1799041.52,899520.76
183,20240401,2,3,2547121.76,764136.53,891492.62,1782985.23,891492.61
184,20240401,2,4,2550436.09,765130.83,892652.63,1785305.26,892652.63
185,20240401,2,5,4183587.39,1255076.22,1464255.59,2928511.17,1464255.58
186,20240401,2,6,4960979.27,1488293.78,1736342.74,3472685.49,1736342.75
187,20240401,2,7,5818323.47,1745497.04,2036413.21,4072826.43,2036413.22
188,20240401,2,8,6590269.49,1977080.85,2306594.32,4613188.64,2306594.32
189,20240401,2,9,2133818.52,640145.56,746836.48,1493672.96,746836.48
190,20240401,2,10,2815760.54,844728.16,985516.19,1971032.38,985516.19
191,20240401,2,11,2263267.32,678980.2,792143.56,1584287.12,792143.56
192,20240401,2,12,3812163.78,1143649.13,1334257.32,2668514.65,1334257.33
193,20240401,2,13,7597473.14,2279241.94,2659115.6,5318231.2,2659115.6
194,20240401,2,14,7973746.51,2392123.95,2790811.28,5581622.56,2790811.28
195,20240401,2,15,3722881.27,1116864.38,1303008.44,2606016.89,1303008.45
196,20240401,2,16,6266699.86,1880009.96,2193344.95,4386689.9,2193344.95
197,20240401,2,17,3968729.35,1190618.8,1389055.27,2778110.55,1389055.28
198,20240401,2,18,3000736.2,900220.86,1050257.67,2100515.34,1050257.67
199,20240401,3,1,9539785.94,3338925.08,3338925.08,6200860.86,2861935.78
200,20240401,3,2,7803142.12,2731099.74,2731099.74,5072042.38,2340942.64
201,20240401,3,3,2871879.97,1005157.99,1005157.99,1866721.98,861563.99
202,20240401,3,4,2527229.51,884530.33,884530.33,1642699.18,758168.85
203,20240401,3,5,5426303.17,1899206.11,1899206.11,3527097.06,1627890.95
204,20240401,3,6,2797036.02,978962.61,978962.61,1818073.41,839110.8
205,20240401,3,7,3285230.03,1149830.51,1149830.51,2135399.52,985569.01
206,20240401,3,8,2740270.65,959094.73,959094.73,1781175.92,822081.19
207,20240401,3,9,8728458.07,3054960.32,3054960.32,5673497.75,2618537.43
208,20240401,3,10,7819294.83,2736753.19,2736753.19,5082541.64,2345788.45
209,20240401,3,11,9270366.62,3244628.32,3244628.32,6025738.3,2781109.98
210,20240401,3,12,7877232.02,2757031.21,2757031.21,5120200.81,2363169.6
211,20240401,3,13,5477017.75,1916956.21,1916956.21,3560061.54,1643105.33
212,20240401,3,14,2525448.09,883906.83,883906.83,1641541.26,757634.43
213,20240401,3,15,8768064.39,3068822.54,3068822.54,5699241.85,2630419.31
214,20240401,3,16,4772243.24,1670285.13,1670285.13,3101958.11,1431672.98
215,20240401,3,17,2929239.61,1025233.86,1025233.86,1904005.75,878771.89
216,20240401,3,18,2514745.06,880160.77,880160.77,1634584.29,754423.52
217,20240501,1,1,4008719.15,1803923.62,1403051.7,2204795.53,801743.83
218,20240501,1,2,2360313.28,1062140.98,826109.65,1298172.3,472062.65
219,20240501,1,3,5184387.09,2332974.19,1814535.48,2851412.9,1036877.42
220,20240501,1,4,2465752.88,1109588.8,863013.51,1356164.08,493150.57
221,20240501,1,5,7719875.56,3473944.0,2701956.45,4245931.56,1543975.11
222,20240501,1,6,3881138.59,1746512.37,1358398.51,2134626.22,776227.71
223,20240501,1,7,7572256.03,3407515.21,2650289.61,4164740.82,1514451.21
224,20240501,1,8,3674286.3,1653428.84,1286000.2,2020857.46,734857.26
225,20240501,1,9,4941606.48,2223722.92,1729562.27,2717883.56,988321.29
226,20240501,1,10,5168252.04,2325713.42,1808888.21,2842538.62,1033650.41
227,20240501,1,11,3165781.8,1424601.81,1108023.63,1741179.99,633156.36
228,20240501,1,12,7018769.61,3158446.32,2456569.36,3860323.29,1403753.93
229,20240501,1,13,2914562.19,1311552.99,1020096.77,1603009.2,582912.43
230,20240501,1,14,6687891.34,3009551.1,2340761.97,3678340.24,1337578.27
231,20240501,1,15,2291119.92,1031003.96,801891.97,1260115.96,458223.99
232,20240501,1,16,6180212.96,2781095.83,2163074.54,3399117.13,1236042.59
