CashFlowID,DateKey,CashFromOperations,CashFromInvesting,CashFromFinancing,NetCashFlow,IsForecast,CashBalance
1,20230101,-1723580.67,0.0,0.0,-1723580.67,0,3276419.33
2,20230201,-3826414.97,0.0,0.0,-3826414.97,0,-549995.64
3,20230301,-1838506.52,-327365.78,0.0,-2165872.3,0,-2715867.94
4,20230401,1317821.61,0.0,0.0,1317821.61,0,-1398046.33
5,20230501,-293143.29,0.0,0.0,-293143.29,0,-1691189.62
6,20230601,-1134435.34,-499212.54,-10211.37,-1643859.25,0,-3335048.87
7,20230701,926418.03,0.0,0.0,926418.03,0,-2408630.84
8,20230801,-932096.23,0.0,0.0,-932096.23,0,-3340727.07
9,20230901,-2207681.32,-278263.56,0.0,-2485944.88,0,-5826671.95
10,20231001,-1337615.28,0.0,0.0,-1337615.28,0,-7164287.23
11,20231101,-12105.26,0.0,0.0,-12105.26,0,-7176392.49
12,20231201,1160010.46,-368811.08,-96885.62,694313.76,0,-6482078.73
13,20240101,-1687923.81,0.0,0.0,-1687923.81,0,-8170002.54
14,20240201,-2551437.6,0.0,0.0,-2551437.6,0,-10721440.14
15,20240301,-2122587.16,-423024.26,0.0,-2545611.42,0,-13267051.56
16,20240401,-965273.82,0.0,0.0,-965273.82,0,-14232325.38
17,20240501,-1120773.16,0.0,0.0,-1120773.16,0,-15353098.54
18,20240601,-1022204.78,-308187.9,-45411.94,-1375804.62,0,-16728903.16
19,20240701,-267276.91,0.0,0.0,-267276.91,0,-16996180.07
20,20240801,819184.93,0.0,0.0,819184.93,0,-16176995.14
21,20240901,-1684267.59,-379287.32,0.0,-2063554.91,0,-18240550.05
22,20241001,-845143.74,0.0,0.0,-845143.74,0,-19085693.79
23,20241101,-693451.24,0.0,0.0,-693451.24,0,-19779145.03
24,20241201,1267076.37,-310878.09,-153235.04,802963.24,0,-18976181.79
25,20250101,-2896563.37,0.0,0.0,-2896563.37,0,-21872745.16
26,20250201,-3158159.94,0.0,0.0,-3158159.94,0,-25030905.1
27,20250301,-1882859.49,-129477.73,0.0,-2012337.22,0,-27043242.32
28,20250401,-921047.34,0.0,0.0,-921047.34,0,-27964289.66
29,20250501,-2223861.63,0.0,0.0,-2223861.63,0,-30188151.29
30,20250601,-272090.98,-454600.87,-152503.23,-879195.08,0,-31067346.37
31,20250701,-813265.52,0.0,0.0,-813265.52,0,-31880611.89
32,20250801,-1392678.32,0.0,0.0,-1392678.32,0,-33273290.21
33,20250901,-2008720.29,-267661.31,0.0,-2276381.6,0,-35549671.81
34,20251001,-1066239.97,0.0,0.0,-1066239.97,0,-36615911.78
35,20251101,-1216301.21,0.0,0.0,-1216301.21,0,-37832212.99
36,20251201,1994797.45,-108079.34,-70940.57,1815777.54,0,-36016435.45
37,20260101,-5173052.81,0.0,0.0,-5173052.81,0,-41189488.26
38,20260201,-4137255.43,0.0,0.0,-4137255.43,0,-45326743.69
39,20260301,-3389821.81,-375020.59,0.0,-3764842.4,0,-49091586.09
40,20260401,-1348623.55,0.0,0.0,-1348623.55,0,-50440209.64
41,20260501,-963261.03,0.0,0.0,-963261.03,0,-51403470.67
42,20260601,-2441383.78,-274040.17,-2989.57,-2718413.52,1,-54121884.19
43,20260701,273337.54,0.0,0.0,273337.54,1,-53848546.65
44,20260801,-2579152.67,0.0,0.0,-2579152.67,1,-56427699.32
45,20260901,-3543784.58,-289698.84,0.0,-3833483.42,1,-60261182.74
46,20261001,-1960121.9,0.0,0.0,-1960121.9,1,-62221304.64
47,20261101,-316295.5,0.0,0.0,-316295.5,1,-62537600.14
48,20261201,146936.7,-448977.97,53174.52,-248866.75,1,-62786466.89
49,20270101,-4420252.78,0.0,0.0,-4420252.78,1,-67206719.67
50,20270201,-4082675.52,0.0,0.0,-4082675.52,1,-71289395.19
51,20270301,-4856318.34,-123244.84,0.0,-4979563.18,1,-76268958.37
52,20270401,-3625434.14,0.0,0.0,-3625434.14,1,-79894392.51
53,20270501,-2324184.14,0.0,0.0,-2324184.14,1,-82218576.65
54,20270601,-2284114.57,-337681.76,-60993.45,-2682789.78,1,-84901366.43
55,20270701,-3602620.64,0.0,0.0,-3602620.64,1,-88503987.07
56,20270801,-2097499.78,0.0,0.0,-2097499.78,1,-90601486.85
57,20270901,-3477858.71,-155724.33,0.0,-3633583.04,1,-94235069.89
58,20271001,-4433925.72,0.0,0.0,-4433925.72,1,-98668995.61
59,20271101,-1337321.36,0.0,0.0,-1337321.36,1,-100006316.97
60,20271201,531811.14,-451525.89,-196161.29,-115876.04,1,-100122193.01
