TransactionID,DateKey,ProductID,BrandID,SegmentID,GeographyID,Units,Revenue,COGS,GrossProfit,IsForecast
1,20230101,1,1,1,3,562,8154.62,3645.07,4509.55,0
2,20230101,1,1,1,5,1672,24260.72,10743.09,13517.63,0
3,20230101,1,1,1,6,3988,57865.88,23582.35,34283.53,0
4,20230101,1,1,1,7,3649,52946.99,22856.8,30090.19,0
5,20230101,1,1,1,9,1146,16628.46,6768.48,9859.98,0
6,20230101,1,1,1,11,1852,26872.52,12141.89,14730.63,0
7,20230101,1,1,1,12,1347,19544.97,8085.01,11459.96,0
8,20230101,1,1,1,13,3065,44473.15,18928.69,25544.46,0
9,20230101,1,1,1,14,3278,47563.78,22822.51,24741.27,0
10,20230101,1,1,1,15,4105,59563.55,29106.43,30457.12,0
11,20230101,1,1,1,17,3270,47447.7,20536.09,26911.61,0
12,20230101,2,1,1,1,1813,19924.87,8574.2,11350.67,0
13,20230101,2,1,1,2,3022,33211.78,15842.0,17369.78,0
14,20230101,2,1,1,4,1187,13045.13,5754.67,7290.46,0
15,20230101,2,1,1,5,5271,57928.29,27310.84,30617.45,0
16,20230101,2,1,1,7,4256,46773.44,19882.74,26890.7,0
17,20230101,2,1,1,10,2246,24683.54,10301.17,14382.37,0
18,20230101,2,1,1,13,910,10000.9,4935.06,5065.84,0
19,20230101,2,1,1,14,4546,49960.54,22160.86,27799.68,0
20,20230101,2,1,1,15,3533,38827.67,16147.06,22680.61,0
21,20230101,2,1,1,17,1430,15715.7,6350.29,9365.41,0
22,20230101,2,1,1,18,3051,33530.49,13469.74,20060.75,0
23,20230101,3,1,1,1,1829,11998.24,5319.84,6678.4,0
24,20230101,3,1,1,2,2953,19371.68,7778.32,11593.36,0
25,20230101,3,1,1,3,2240,14694.4,6845.67,7848.73,0
26,20230101,3,1,1,6,1379,9046.24,4343.05,4703.19,0
27,20230101,3,1,1,7,4207,27597.92,12303.85,15294.07,0
28,20230101,3,1,1,8,3823,25078.88,10718.62,14360.26,0
29,20230101,3,1,1,10,2996,19653.76,8522.96,11130.8,0
30,20230101,3,1,1,11,1922,12608.32,5372.02,7236.3,0
31,20230101,3,1,1,12,1333,8744.48,4047.77,4696.71,0
32,20230101,3,1,1,13,1272,8344.32,3573.07,4771.25,0
33,20230101,3,1,1,15,3581,23491.36,10365.84,13125.52,0
34,20230101,3,1,1,16,2390,15678.4,7730.64,7947.76,0
35,20230101,3,1,1,17,3944,25872.64,12263.4,13609.24,0
36,20230101,4,1,1,1,4236,57863.76,27927.7,29936.06,0
37,20230101,4,1,1,2,1001,13673.66,5542.6,8131.06,0
38,20230101,4,1,1,3,4244,57973.04,28736.08,29236.96,0
39,20230101,4,1,1,4,4026,54995.16,24464.3,30530.86,0
40,20230101,4,1,1,6,2984,40761.44,20161.4,20600.04,0
41,20230101,4,1,1,7,1301,17771.66,7987.33,9784.33,0
42,20230101,4,1,1,9,1685,23017.1,10463.38,12553.72,0
43,20230101,4,1,1,10,1429,19520.14,8005.45,11514.69,0
44,20230101,4,1,1,12,3708,50651.28,21003.08,29648.2,0
45,20230101,4,1,1,13,2808,38357.28,18653.68,19703.6,0
46,20230101,4,1,1,14,2348,32073.68,15991.94,16081.74,0
47,20230101,4,1,1,15,3674,50186.84,22492.07,27694.77,0
48,20230101,4,1,1,16,2519,34409.54,16882.54,17527.0,0
49,20230101,4,1,1,18,1691,23099.06,10951.2,12147.86,0
50,20230101,5,1,1,1,1383,16706.64,7929.05,8777.59,0
51,20230101,5,1,1,2,4409,53260.72,23848.63,29412.09,0
52,20230101,5,1,1,4,655,7912.4,3938.71,3973.69,0
53,20230101,5,1,1,5,4478,54094.24,27009.06,27085.18,0
54,20230101,5,1,1,7,3837,46350.96,21457.71,24893.25,0
55,20230101,5,1,1,8,4349,52535.92,24675.73,27860.19,0
56,20230101,5,1,1,9,795,9603.6,4111.27,5492.33,0
57,20230101,5,1,1,10,803,9700.24,4481.64,5218.6,0
58,20230101,5,1,1,13,2832,34210.56,14594.01,19616.55,0
59,20230101,5,1,1,14,4004,48368.32,19503.63,28864.69,0
60,20230101,5,1,1,16,3015,36421.2,15160.75,21260.45,0
61,20230101,5,1,1,17,4112,49672.96,21938.75,27734.21,0
62,20230101,5,1,1,18,2264,27349.12,13490.58,13858.54,0
63,20230101,6,1,1,1,1385,20359.5,9794.05,10565.45,0
64,20230101,6,1,1,2,4283,62960.1,30404.47,32555.63,0
